"User ID","Username","Fullname","Follow by you","Is verified","Profile URL","Avatar URL"
"17077255947","food_tour_nepal","","NO","NO","https://www.instagram.com/food_tour_nepal","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/66630272_2640348842645041_8984099722327228416_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=Tf51OhQEGS0AX_nY1Yb&oh=420aa63cf46521101c29a4a04ffda9c6&oe=5F0D6A0F"
"8363869473","ksquarec8","Kundan K.C","NO","NO","https://www.instagram.com/ksquarec8","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/72960711_880861179066876_4470561317295489024_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=ECp5fdrgfVAAX8hCUDs&oh=1e8e232a0de26f27cf5dbba502ddbe5a&oe=5F09FF74"
"2457758450","himalayan_scenery_treks","Himalayan Scenery Treks","NO","NO","https://www.instagram.com/himalayan_scenery_treks","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/102433134_178624933576065_2250005621162115072_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=8pLJ3c2vIPYAX9s7VYV&oh=07ccef1b6fae32421f524f3e83c9498f&oe=5F0B7222"
"7773739952","iffood_makesyouhappy","Feed your soul ✌️🤤🧿🧿📿🇳🇵 🇬🇧","NO","NO","https://www.instagram.com/iffood_makesyouhappy","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/68899446_446976286160635_7041802252788432896_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=KUg94BNLKyMAX_yt-WX&oh=f1e1317b91fd7addc0732af163e53e01&oe=5F09B0E6"
"34503956893","dearkobe_photography","dear kobe photography🇳🇵","NO","NO","https://www.instagram.com/dearkobe_photography","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/97087506_597236941149378_5049846148034985984_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=C05OFc88RNUAX-cVNBa&oh=9d5429113611bb7d3b97e4eafc41118f&oe=5F0DA3C4"
"7845013933","frankheadbibash","Bibash Regmi","NO","NO","https://www.instagram.com/frankheadbibash","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/83103495_581863589130049_3285213170381094912_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=vu4_pMu-3jgAX8Fg0L0&oh=4d68f9cfdda2042db9f08cb768dd4a4d&oe=5F0AC117"
"2219737159","reshampun09","RaYshom Singh PoOn","NO","NO","https://www.instagram.com/reshampun09","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/72536583_453554412170223_8274016064929529856_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=C1PJ8RsGc30AX8Y78oa&oh=3ca283264ce97c66f60b72271882a1b3&oe=5F0D00A2"
"7096675268","amit_j._lama","Amit J. Lama","NO","NO","https://www.instagram.com/amit_j._lama","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91174200_210005277082144_1092754682146717696_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=9RDoXLnBBrgAX-Csmi0&oh=b979c7abe40fc235e041c01b30654c07&oe=5F0AC3BC"
"28111980825","sofiamarquez937","Sofia Marquez","NO","NO","https://www.instagram.com/sofiamarquez937","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/81498288_499588804020531_4676684704865320960_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=Qs9HkLex2K4AX9Pnfzm&oh=4e266098e074f70131b95a8ae9ca7640&oe=5F0C0450"
"34326848916","utsavbhattarai500","utsavbhattarai","NO","NO","https://www.instagram.com/utsavbhattarai500","https://instagram.fktm8-1.fna.fbcdn.net/v/t51.2885-19/s150x150/94387086_975698772846410_4166888506490093568_n.jpg?_nc_ht=instagram.fktm8-1.fna.fbcdn.net&_nc_ohc=EL76qBaCKB8AX8N_rLk&oh=8a732d6d475512d2f65038dc34c23c5b&oe=5F0C7321"
